id,character,bucket
0074,丰,一级字表
0075,王,一级字表
0076,开,一级字表
0077,井,一级字表
0078,天,一级字表
0079,夫,一级字表
0080,元,一级字表
0081,无,一级字表
0082,云,一级字表
0083,专,一级字表
0084,丐,一级字表
0085,扎,一级字表
0086,艺,一级字表
0087,木,一级字表
0088,五,一级字表
0089,支,一级字表
0090,厅,一级字表
0091,不,一级字表
0092,犬,一级字表
0093,太,一级字表
0094,区,一级字表
0095,历,一级字表
0096,歹,一级字表
0097,友,一级字表
0098,尤,一级字表
0099,匹,一级字表
0100,车,一级字表
0101,巨,一级字表
0102,牙,一级字表
0281,丛,一级字表
0282,令,一级字表
0283,用,一级字表
0284,甩,一级字表
0285,印,一级字表
0286,尔,一级字表
0287,乐,一级字表
0288,句,一级字表
0289,匆,一级字表
0290,册,一级字表
0291,卯,一级字表
0292,犯,一级字表
0293,外,一级字表
0294,处,一级字表
0295,冬,一级字表
0296,鸟,一级字表
0297,务,一级字表
0298,包,一级字表
0299,饥,一级字表
0300,主,一级字表
0301,市,一级字表
0302,立,一级字表
0303,冯,一级字表
0304,玄,一级字表
0305,闪,一级字表
0306,兰,一级字表
0307,半,一级字表
0308,汁,一级字表
0309,汇,一级字表
0310,头,一级字表
0311,汉,一级字表
0312,宁,一级字表
0313,穴,一级字表
0314,它,一级字表
0315,讨,一级字表
0316,写,一级字表
0317,让,一级字表
0318,礼,一级字表
0509,色,一级字表
0510,壮,一级字表
0511,冲,一级字表
0512,妆,一级字表
0513,冰,一级字表
0514,庄,一级字表
0515,庆,一级字表
0516,亦,一级字表
0517,刘,一级字表
0518,齐,一级字表
0519,交,一级字表
0520,衣,一级字表
0521,次,一级字表
0522,产,一级字表
0523,决,一级字表
0524,亥,一级字表
0525,充,一级字表
0526,妄,一级字表
0527,闭,一级字表
0528,问,一级字表
0529,闯,一级字表
0530,羊,一级字表
0531,并,一级字表
0532,关,一级字表
0533,米,一级字表
0534,灯,一级字表
0535,州,一级字表
0536,汗,一级字表
0537,污,一级字表
0538,江,一级字表
0539,汛,一级字表
0540,池,一级字表
0541,汝,一级字表
0542,汤,一级字表
0543,忙,一级字表
0544,兴,一级字表
0545,宇,一级字表
0546,守,一级字表
0737,员,一级字表
0738,呐,一级字表
0739,听,一级字表
0740,吟,一级字表
0741,吩,一级字表
0742,呛,一级字表
0743,吻,一级字表
0744,吹,一级字表
0745,呜,一级字表
0746,吭,一级字表
0747,吧,一级字表
0748,邑,一级字表
0749,吼,一级字表
0750,囤,一级字表
0751,别,一级字表
0752,吮,一级字表
0753,岖,一级字表
0754,岗,一级字表
0755,帐,一级字表
0756,财,一级字表
